航班,状态,目的地,预计到达,实际到达,航站楼,登机口
MU5812,未起飞,['昆明'],20:00,待定,T2,24
MU5125,未起飞,"['北京', '首都机场']",20:00,待定,T2,38
MU2512,未起飞,['武汉'],20:00,待定,T2,70
MU5350,未起飞,['烟台'],20:05,待定,T2,33
MU5523,未起飞,['青岛'],20:15,待定,T2,65
MU2170,未起飞,['西安'],20:25,待定,T2,60
MU2407,未起飞,['太原'],20:25,待定,T2,73
MU5359,未起飞,['深圳'],20:30,待定,T2,51
MU5577,未起飞,['青岛'],20:30,待定,T2,21
MU5415,未起飞,['成都'],20:35,待定,T2,62
MU5309,未起飞,['广州'],20:35,待定,T2,69
MU5159,未起飞,"['北京', '首都机场']",20:45,待定,T2,67
MU5331,未起飞,"['北京', '首都机场']",21:00,待定,T2,51
MU5559,未起飞,['南昌'],21:05,待定,T2,64
MU2514,未起飞,['武汉'],21:20,待定,T2,66
FM9107,未起飞,"['北京', '首都机场']",21:30,待定,T2,36
FM9459,未起飞,['贵阳'],21:45,待定,T2,43
MU9693,未起飞,['太原'],21:45,待定,T2,51
MU2128,未起飞,['兰州'],21:50,待定,T2,63
FM9167,未起飞,['呼和浩特'],22:05,待定,T2,74
MU5311,未起飞,['广州'],22:25,待定,T2,72
MU9919,未起飞,['西安'],23:00,待定,T2,26
